"uuid","nickname","country","points","overall","CRYSTAL_tier","CRYSTAL_peak","CRYSTAL_worst","CRYSTAL_value","CRYSTAL_retired","CRYSTAL_restricted","SWORD_tier","SWORD_peak","SWORD_worst","SWORD_value","SWORD_retired","SWORD_restricted","SMP_tier","SMP_peak","SMP_worst","SMP_value","SMP_retired","SMP_restricted","MACE_tier","MACE_peak","MACE_worst","MACE_value","MACE_retired","MACE_restricted","NETHERITE_POT_tier","NETHERITE_POT_peak","NETHERITE_POT_worst","NETHERITE_POT_value","NETHERITE_POT_retired","NETHERITE_POT_restricted","AXE_tier","AXE_peak","AXE_worst","AXE_value","AXE_retired","AXE_restricted"
"e0efcc66-1675-4f59-8088-01565c8b6ea3","becametrue","BR","0","2385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"184f2ffa-e249-4926-87de-8b023a44d564","Comar29","BR","0","2386","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71e5ec42-af27-400b-91ec-57d26330d951","Lastercpvp","BR","0","2387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c078ee5e-83e5-4634-b900-e01c24320905","ib0brik","BR","0","2388","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6afb14fc-8760-4272-b634-37b3af9cb66f","ZonenPvP","BR","0","2389","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98fca8e9-1901-429a-8054-4df906138dd3","Jorginhouuu","BR","0","2390","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e03a36c8-138d-4cdf-a0eb-fc3f642f4d8d","Zigqri","BR","0","2391","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c32dbdda-1813-45a6-b059-e35061d5e611","NoctyxWS","BR","0","2392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cd08c6cb-a6e8-4029-8e65-21d62358c42a","Soldado_Oriental","BR","0","2393","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91d168d3-b89b-4652-988e-39dfd8c708ae","joel0018","BR","0","2394","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2d481208-55a3-48f8-a35f-e43a25987a9d","clr2","BR","0","2395","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
